plot_id,ndvi,ndvi_cluster,ngrdi,spad,spad_cluster,cluster_id,date
2,0.5334,1,0.026508271,52.37333333,0,1,20180213
3,0.3672,3,0.016599373,47.91333333,1,2,20180213
4,0.5422,1,0.034468427,49.87333333,2,1,20180213
5,0.4392,2,0.014228212,52.22666667,0,2,20180213
6,0.6354,0,0.045430618,50.58,3,3,20180213
7,0.7242,0,0.097375497,46.85333333,1,0,20180213
8,0.7662,0,0.082992779,52.53333333,0,0,20180213
9,0.6286,0,0.058240485,51.18666667,3,3,20180213
10,0.66,0,0.066095033,53.45333333,0,0,20180213
11,0.6078,1,0.092185014,51.88,3,0,20180213
12,0.4496,2,0.02621166,51.27333333,3,1,20180213
13,0.6308,0,0.030731349,52.41333333,0,1,20180213
14,0.4864,2,0.018524637,51.4,3,1,20180213
17,0.4152,2,0.026806356,53.18666667,0,1,20180213
18,0.611,0,0.077935895,51.3,3,0,20180213
19,0.6354,0,0.07310506,51.75333333,3,0,20180213
20,0.6236,0,0.034871072,51.44,3,1,20180213
22,0.6772,0,0.057554723,50.60666667,3,3,20180213
23,0.546,1,0.051968003,49.72,2,3,20180213
24,0.3608,3,0.008022976,47.87333333,1,2,20180213
25,0.587,1,0.021584731,51.20666667,3,1,20180213
26,0.5902,1,0.046171547,49.41333333,2,3,20180213
27,0.5342,1,0.014088965,48.01333333,1,2,20180213
28,0.5238,1,0.020059744,50.13333333,2,1,20180213
29,0.5698,1,0.050335051,49.80666667,2,3,20180213
32,0.2772,3,7.60E-05,51.52666667,3,2,20180213
33,0.4492,2,0.011480025,53.76,0,2,20180213
34,0.5642,1,0.043445332,51.16,3,3,20180213
35,0.5802,1,0.017965017,51.15333333,3,2,20180213
36,0.5446,1,0.024635484,50.41333333,2,1,20180213
37,0.682,0,0.029876619,49.86666667,2,1,20180213
38,0.6154,0,-0.000805828,47.89333333,1,2,20180213
39,0.2734,3,0.076141228,49.00666667,2,0,20180213
41,0.4832,2,0.012061293,46.94,1,2,20180213
42,0.6512,0,0.034099293,47.16666667,1,1,20180213
43,0.6734,0,0.046350279,48.09333333,1,3,20180213
46,0.4524,2,0.020223184,46.4,1,1,20180213
47,0.4672,2,0.009392389,49.87333333,2,2,20180213
48,0.4908,2,0.01136873,48.99333333,2,2,20180213
49,0.4886,2,0.007560144,51.51333333,3,2,20180213
50,0.5498,1,0.013724077,49.45333333,2,2,20180213
51,0.482,2,0.001642257,51.77333333,3,2,20180213
52,0.461,2,0.008467859,48.49333333,1,2,20180213
53,0.4624,2,0.010970135,50.44,2,2,20180213
54,0.4004,2,0.021349995,48.46,1,1,20180213
55,0.5134,1,0.035295352,50.44,2,1,20180213
56,0.6324,0,0.027034729,44.62666667,1,1,20180213
57,0.5978,1,0.027606107,49.81333333,2,1,20180213
