plot_id,ndvi,ndvi_cluster,ngrdi,spad,spad_cluster,cluster_id,date
2,0.5276,1,0.01015214,52.03333333,1,1,20180206
3,0.3738,0,0.016708118,48.15333333,0,1,20180206
4,0.4458,2,0.054011324,50.42666667,1,2,20180206
5,0.4674,2,0.019972347,51.98,1,1,20180206
6,0.6022,1,0.09163757,49.47333333,0,2,20180206
7,0.6574,3,0.158286067,49.14666667,0,3,20180206
8,0.6152,3,0.107058103,50.86666667,1,3,20180206
9,0.5906,1,0.112391091,51.02666667,1,3,20180206
10,0.6578,3,0.138119234,53.18666667,2,3,20180206
11,0.5744,1,0.134693585,55.7,2,3,20180206
12,0.5004,2,0.028859837,51.57333333,1,1,20180206
13,0.5554,1,0.027923934,49.22666667,0,1,20180206
14,0.5652,1,0.023428018,49.09333333,0,1,20180206
17,0.4912,2,0.022840163,53.08,2,1,20180206
19,0.6014,1,0.06830132,51.38666667,1,2,20180206
20,0.4696,2,0.024422651,50.58666667,1,1,20180206
22,0.6348,3,0.050128274,49.83333333,0,0,20180206
24,0.4508,2,0.004561391,48.76666667,0,1,20180206
25,0.632,3,0.048935642,50.68,1,0,20180206
26,0.5886,1,0.06576775,50.44,1,2,20180206
27,0.6128,3,0.043538434,50.82,1,0,20180206
28,0.642,3,0.05954439,48.04666667,0,2,20180206
29,0.6254,3,0.061072944,48.47333333,0,2,20180206
32,0.2948,0,0.002340939,51.7,1,1,20180206
33,0.381,0,0.020999503,50.68666667,1,1,20180206
34,0.518,2,0.066312127,50.5,1,2,20180206
35,0.5574,1,0.040705216,47.97333333,0,0,20180206
36,0.5056,2,0.037185373,50.35333333,1,0,20180206
37,0.5564,1,0.061987479,49.37333333,0,2,20180206
38,0.407,0,0.003840974,46.6,3,1,20180206
39,0.6144,3,0.091821053,53.28666667,2,2,20180206
41,0.4526,2,0.040043592,46.46,3,0,20180206
42,0.6856,3,0.103069302,48.54666667,0,3,20180206
43,0.6778,3,0.054275858,49.04,0,2,20180206
46,0.5628,1,0.051650134,50.72666667,1,0,20180206
47,0.5332,1,0.018314018,50.44666667,1,1,20180206
48,0.5604,1,0.0402495,49.33333333,0,0,20180206
49,0.5134,2,0.03219405,50.74666667,1,0,20180206
50,0.5064,2,0.035571097,50.60666667,1,0,20180206
51,0.4748,2,0.025049655,49.46666667,0,1,20180206
52,0.4716,2,0.027897678,49.38666667,0,1,20180206
53,0.45,2,0.029127218,46.48,3,1,20180206
54,0.499,2,0.047674462,50.16,1,0,20180206
55,0.6282,3,0.051639715,50.46666667,1,0,20180206
56,0.59,1,0.035660402,48.99333333,0,0,20180206
57,0.66,3,0.048460731,44.36,3,0,20180206
