plot_id,ndvi,ndvi_cluster,ngrdi,spad,spad_cluster,cluster_id,date
3,0.4806,2,0.038165758,47.72666667,2,1,20180220
4,0.6094,2,0.064408453,51.02666667,3,3,20180220
5,0.5228,2,0.04539371,52.34666667,3,1,20180220
6,0.771,1,0.118551919,51.6,3,0,20180220
7,0.764,1,0.121038483,50.93333333,3,0,20180220
8,0.7922,1,0.126369592,51.83333333,3,0,20180220
9,0.7188,0,0.15076732,49.66666667,2,0,20180220
10,0.7838,1,0.153255553,52.23333333,3,0,20180220
11,0.7938,1,0.136811415,54.61333333,1,0,20180220
12,0.6724,0,0.069580419,52.15333333,3,3,20180220
13,0.6584,0,0.0494835,51.32,3,1,20180220
14,0.6498,0,0.04314053,49.35333333,2,1,20180220
17,0.6328,0,0.043379994,55.7,1,1,20180220
18,0.774,1,0.118042321,54.46,1,0,20180220
19,0.775,1,0.089986566,53.34,1,2,20180220
20,0.6704,0,0.075360812,52.90666667,3,3,20180220
22,0.8076,1,0.115563191,51.26,3,0,20180220
23,0.6962,0,0.088043534,49.27333333,2,2,20180220
24,0.5636,2,0.030860584,46.98,2,1,20180220
25,0.6808,0,0.05049432,50.25333333,2,1,20180220
26,0.7426,1,0.064556593,53.06,3,3,20180220
27,0.7058,0,0.045009216,50.38,2,1,20180220
28,0.685,0,0.040854566,48.86666667,2,1,20180220
29,0.6222,0,0.043706764,48.64,2,1,20180220
32,0.3804,3,0.009493503,52.75333333,3,1,20180220
33,0.5528,2,0.043915499,52.32,3,1,20180220
34,0.6946,0,0.109721603,52.76666667,3,2,20180220
35,0.6474,0,0.075793242,50.32,2,3,20180220
36,0.5998,2,0.053783437,51.34666667,3,1,20180220
37,0.6426,0,0.078559282,49.35333333,2,3,20180220
38,0.3964,3,0.010807867,41.40666667,0,1,20180220
